Title,Site-URL,Categories
Basic,basicagency.com,Agency or Consultancy
Odunpazarı Modern Museum,omm.art,Gallery or Museum
Victory,vectorly.team,Mobile & Web Application
Work & Co,work.co,Typographic
T Brand Studio,tbrandstudio.com,Design & Art Direction
Madeleine Dalla,madeleinedalla.com,Portfolio
Clan Upstairs,clanupstairs.com,Shop
Red Bull,redbull.com,Consumer
Versett,versett.com,Agency or Consultancy
León Romero,leonromero.work,Portfolio
Sandy Dauneau,sandydauneau.fr,Animation
Violet Office,violetoffice.com,Agency or Consultancy
IEA,iea.org,Corporate
Bold,boldscandinavia.com,Agency or Consultancy
Ray,helloray.com,Typographic
Cascadia Group,cascadiagroup.co,Health & Fitness
Bielke&Yang,bielkeyang.com,Agency or Consultancy
Birch,birchcommunity.com,Hotel or Venue
Tight,en.tight.media,Editorial
Nathan Young,nathanyoung.org,Portfolio
maev,meetmaev.com,Start-up
3 & 7,3and7.com,Agency or Consultancy
Sing Sing,sing-sing.co,Agency or Consultancy
Welcome to Winona,welcometowinona.com,Project
Victor Work,victor.work,Portfolio
David William Baum,davidwilliambaum.com,Portfolio
Any Other Name,anyother.name,Agency or Consultancy
Inverse,inverse.com,Editorial
Enrico Pirondi,enricopirondi.com,Portfolio
Airlift,weareairlift.com,Agency or Consultancy
Paintbox,paint-box.com,Consumer
Socialclub,socialclubparis.com,Agency or Consultancy
Open Spaces,getopenspaces.com,Shop
Mythology,mythology.com,Agency or Consultancy
B14 — 14 Years,14.years.b14.dk,Agency or Consultancy
Punchlist,punchlist.com,Mobile & Web Application
Studio Frank,studiofrank.co,Portfolio
Seed,seed.com,Start-up
Lupii,getlupii.com,Food & Drink
GoDaddy Design,godaddy.design,Design & Art Direction
Nathan Taylor,nathan.tokyo,Portfolio
The Mill,themill.com,Agency or Consultancy
Dexter Navy,dexternavy.com,Unusual Navigation
Kin Euphorics,kineuphorics.com,Shop
Cannondale,cannondale.com,Product Catalogue or Collection
